Presv/Host_ID,1,2,3,4,5,6,7
-80C,0,2868,3739,0,16071,2237,11549
Ln2,0,4886,3624,0,0,20,0
Phen/Cl,0,1706,34,0,2461,719,4784
Fresh,0,6403,1082,0,5763,7876,4090
